name,pfs,source,rarity,trait,item_category,item_subcategory,level,price,bulk,usage,spoilers
"Sky Chariot, Light",,GM Core pg. 214 <sup>2.0</sup>,Common,,Vehicles,,7,"1,000 gp",,,
Snail Coach,Restricted,Guns & Gears pg. 96 <sup>2.0</sup>,Uncommon,Uncommon,Vehicles,,7,"1,000 gp",,,
Strider,,GM Core pg. 216 <sup>2.0</sup>,Common,,Vehicles,,7,"1,200 gp",,,
Azarim,,Crown of the Kobold King pg. 113,Unique,"Divine, Evocation, Intelligent, Unique",Weapons,Specific Magic Weapons,7,,1,held in 1 hand,Crown of the Kobold King
Bag of Devouring Type I,,Gamemastery Guide pg. 90,Rare,"Conjuration, Cursed, Extradimensional, Magical, Rare",Cursed Items,,7,,1,held in 2 hands,
Bellicose Dagger,Restricted,Treasure Vault pg. 190 <sup>1.1</sup>,Rare,"Cursed, Magical, Necromancy, Rare",Cursed Items,,7,,L,held in 1 hand,
Cloak of Immolation,,GM Core pg. 306 <sup>2.0</sup>,Rare,"Cursed, Invested, Magical, Rare",Cursed Items,,7,,L,worn cloak,
Draconic Toxin Bottle,Restricted,Treasure Vault pg. 191 <sup>1.1</sup>,Rare,"Air, Conjuration, Consumable, Cursed, Magical, Rare",Cursed Items,,7,,L,held in 1 hand,
Ghost Stone,,Pathfinder #200: Seven Dooms for Sandpoint pg. 183,Unique,"Divination, Magical, Unique",Other,,7,,18,,Seven Dooms for Sandpoint
Gloves of Carelessness,,Gamemastery Guide pg. 91,Rare,"Abjuration, Cursed, Extradimensional, Invested, Magical, Rare",Cursed Items,,7,,L,worn gloves,
Hand-Hewed Face,Standard,Dark Archive pg. 164,Rare,"Contract, Invested, Magical, Rare",Contracts,Bargained Contracts,7,,,,
Hat of Disagreeable Disguise (Greater),,Treasure Vault pg. 191 <sup>1.1</sup>,Rare,"Cursed, Illusion, Invested, Magical, Rare",Cursed Items,,7,,,worn headwear,
Martyr's Shield,,GM Core pg. 305 <sup>2.0</sup>,Rare,"Divine, Intelligent, Rare",Intelligent Items,,7,,1,held in 1 hand,
Ring of Ravenousness,Restricted,Treasure Vault pg. 192 <sup>1.1</sup>,Rare,"Conjuration, Cursed, Invested, Magical, Rare",Cursed Items,,7,,,worn,
Ring of Sneering Charity,Restricted,Dark Archive pg. 161,Common,"Cursed, Enchantment, Invested, Magical",Cursed Items,,7,,,worn ring,
Gossip's Eye,Standard,Treasure Vault pg. 108 <sup>1.1</sup>,Common,"Divination, Magical",Assistive Items,Vision Assistance,8,30 gp,L,worn,
Mycoweave Shield (Greater),,Pathfinder #193: Mantle of Gold pg. 85,Uncommon,"Fungus, Poison, Uncommon",Shields,,8,40 gp,1,held in 1 hand,Sky King's Tomb
Sighting Shot,Standard,Treasure Vault pg. 82 <sup>1.1</sup>,Common,"Consumable, Divination, Light, Magical",Consumables,Magical Ammunition,8,72 gp,,,
Animal Nip (Moderate),Standard,Rage of Elements pg. 200 <sup>2.0</sup>,Common,"Alchemical, Consumable, Olfactory, Plant, Wood",Consumables,Other Consumables,8,75 gp,,held in 1 hand,
Animal Repellent (Moderate),Standard,Treasure Vault pg. 52 <sup>1.1</sup>,Common,"Alchemical, Consumable, Olfactory",Alchemical Items,Alchemical Tools,8,75 gp,L,held in 1 hand,
Bottled Catharsis (Moderate),Standard,Player Core 2 pg. 286,Common,"Alchemical, Consumable, Elixir, Healing",Alchemical Items,Alchemical Elixirs,8,75 gp,L,held in 1 hand,
Candle of Truth,Standard,GM Core pg. 268 <sup>2.0</sup>,Uncommon,"Consumable, Magical, Mental, Uncommon",Consumables,Other Consumables,8,75 gp,,held in 1 hand,
Charm of the Ordinary,Standard,Firebrands pg. 85 <sup>2.0</sup>,Uncommon,"Consumable, Magical, Transmutation, Uncommon",Consumables,Other Consumables,8,75 gp,,held in 1 hand,
Dragon Turtle Scale (Greater),Standard,GM Core pg. 264 <sup>2.0</sup>,Common,"Consumable, Magical, Talisman",Consumables,Talismans,8,75 gp,,affixed to armor,
Firefoot Popcorn,Standard,Treasure Vault pg. 48 <sup>1.1</sup>,Common,"Alchemical, Consumable",Alchemical Items,Alchemical Food,8,75 gp,L,held in 1 hand,
Galvanic Chew,Standard,Treasure Vault pg. 48 <sup>1.1</sup>,Common,"Alchemical, Consumable, Lozenge",Alchemical Items,Alchemical Food,8,75 gp,,held in 1 hand,
Grasping Snare,Standard,Player Core 2 pg. 298,Uncommon,"Consumable, Mechanical, Snare, Trap, Uncommon",Snares,,8,75 gp,,,
Malleable Mixture (Lesser),Standard,Grand Bazaar pg. 19,Uncommon,"Alchemical, Consumable, Elixir, Uncommon",Alchemical Items,Alchemical Elixirs,8,75 gp,L,held in 1 hand,
Mnemonic Acid,,Pathfinder #159: All or Nothing pg. 78,Uncommon,"Alchemical, Consumable, Elixir, Uncommon",Alchemical Items,Alchemical Elixirs,8,75 gp,L,held in 1 hand,Agents of Edgewatch
Nettleweed Residue,Standard,Player Core 2 pg. 294,Common,"Alchemical, Consumable, Contact, Poison",Alchemical Items,Alchemical Poisons,8,75 gp,L,held in 2 hands,
Rusting Snare,Standard,Monsters of Myth pg. 113,Rare,"Consumable, Mechanical, Rare, Snare, Trap",Snares,,8,75 gp,,,
Smoke Fan (Greater),Standard,Guns & Gears pg. 71 <sup>2.0</sup>,Uncommon,"Consumable, Gadget, Uncommon",Consumables,Gadgets,8,75 gp,L,held in 1 hand,
Striking Snare,Standard,Player Core 2 pg. 300,Common,"Consumable, Mechanical, Snare, Trap",Snares,,8,75 gp,,,
Surging Serum (Moderate),Standard,Player Core 2 pg. 288,Common,"Alchemical, Consumable, Elixir, Healing",Alchemical Items,Alchemical Elixirs,8,75 gp,L,held in 1 hand,
Vermin Repellent Agent (Moderate),Standard,PFS Guide pg. 100,Uncommon,"Alchemical, Consumable, Uncommon",Alchemical Items,Alchemical Tools,8,75 gp,L,held in 2 hands,
Marvelous Miniature (Boat),Standard,GM Core pg. 268 <sup>2.0</sup>,Common,"Consumable, Expandable, Magical",Consumables,Other Consumables,8,76 gp,,held in 1 hand,
Alloy Orb (Standard-Grade),Standard,GM Core pg. 263 <sup>2.0</sup>,Common,"Consumable, Magical, Talisman",Consumables,Talismans,8,80 gp,,affixed to a metal weapon,
Barricade Stone (Cube),Limited,Pathfinder #171: Hurricane's Howl pg. 75,Uncommon,"Conjuration, Consumable, Magical, Structure, Uncommon",Consumables,Other Consumables,8,80 gp,,,Strength of Thousands
Cayden's Brew,Standard,Treasure Vault pg. 88 <sup>1.1</sup>,Common,"Conjuration, Consumable, Magical, Poison, Potion",Consumables,Potions,8,80 gp,L,held in 1 hand,
Chameleon Suit (Greater),Limited,Guns & Gears pg. 67 <sup>2.0</sup>,Uncommon,"Clockwork, Consumable, Gadget, Uncommon",Consumables,Gadgets,8,80 gp,L,worn over armor and clothes,
Clockwork Goggles (Major),Standard,Guns & Gears pg. 68 <sup>2.0</sup>,Uncommon,"Clockwork, Consumable, Gadget, Uncommon",Consumables,Gadgets,8,80 gp,L,worn eyepiece,
Exsanguinating Ammunition (Greater),Standard,Guns & Gears pg. 170 <sup>2.0</sup>,Common,"Alchemical, Consumable",Alchemical Items,Alchemical Ammunition,8,80 gp,,,
Liquid Gold (Greater),Limited,Pathfinder #179: Cradle of Quartz pg. 77,Uncommon,"Consumable, Evocation, Magical, Talisman, Uncommon",Consumables,Talismans,8,80 gp,,affixed to a one-handed firearm or hand crossbow,Outlaws of Alkenstar
Nimbus Breath,Standard,Rage of Elements pg. 75 <sup>2.0</sup>,Common,"Air, Bottled Breath, Consumable, Electricity",Consumables,Bottled Breath,8,80 gp,L,held in 1 hand,
Poison Fizz (Lesser),Standard,Treasure Vault pg. 50 <sup>1.1</sup>,Common,"Alchemical, Consumable, Lozenge",Alchemical Items,Alchemical Food,8,80 gp,,held in 1 hand,
Scarlet Mist,Standard,Treasure Vault pg. 70 <sup>1.1</sup>,Common,"Alchemical, Consumable, Injury, Poison",Alchemical Items,Alchemical Poisons,8,80 gp,L,held in 2 hands,
Scour,,Gamemastery Guide pg. 121,Uncommon,"Alchemical, Consumable, Drug, Ingested, Inhaled, Poison, Uncommon",Alchemical Items,Drugs,8,80 gp,L,held in 1 hand,
Skull Bomb,,Pathfinder #180: The Smoking Gun pg. 76,Uncommon,"Clockwork, Consumable, Fire, Magical, Necromancy, Uncommon",Held Items,,8,80 gp,L,held in 1 hand (see text),Outlaws of Alkenstar
Wyvern Poison,Standard,"Player Core 2 pg. 294, GM Core pg. 250 <sup>2.0</sup>",Common,"Alchemical, Consumable, Injury, Poison",Alchemical Items,Alchemical Poisons,8,80 gp,L,held in 2 hands,
Oil of Dynamism,Standard,Player Core 2 pg. 303,Uncommon,"Consumable, Magical, Oil, Uncommon",Consumables,Oils,8,85 gp,,held in 2 hands,
Quenching Potion,Standard,Treasure Vault pg. 90 <sup>1.1</sup>,Common,"Consumable, Magical, Necromancy, Potion",Consumables,Potions,8,85 gp,L,held in 1 hand,
Therapeutic Snap Peas,Standard,Rage of Elements pg. 203 <sup>2.0</sup>,Uncommon,"Consumable, Magical, Plant, Uncommon, Wood",Consumables,Other Consumables,8,85 gp,,held in 1 hand,
Unsullied Blood (Moderate),Standard,Impossible Lands pg. 177,Uncommon,"Catalyst, Consumable, Magical, Uncommon",Consumables,Spell Catalysts,8,85 gp,L,held in 1 hand,
Viperous Elixir (Moderate),Standard,Howl of the Wild pg. 111 <sup>2.0</sup>,Common,"Alchemical, Consumable, Elixir, Morph, Poison",Alchemical Items,Alchemical Elixirs,8,85 gp,L,held in 1 hand,
Darkvision Elixir (Greater),Standard,"Player Core 2 pg. 287, GM Core pg. 246 <sup>2.0</sup>",Common,"Alchemical, Consumable, Elixir",Alchemical Items,Alchemical Elixirs,8,90 gp,L,held in 1 hand,
Feyfoul (Moderate),Limited,Kingmaker Companion Guide pg. 35,Rare,"Alchemical, Consumable, Rare",Alchemical Items,Alchemical Tools,8,90 gp,L,held in 1 hand,Kingmaker
Metalmist Sphere (Moderate),Limited,PFS Guide pg. 38,Uncommon,"Alchemical, Consumable, Uncommon",Alchemical Items,Alchemical Tools,8,90 gp,L,held in 2 hands,
Potion of Quickness,Standard,GM Core pg. 260 <sup>2.0</sup>,Common,"Consumable, Magical, Potion",Consumables,Potions,8,90 gp,L,held in 1 hand,
Roaring Potion (Lesser),Standard,Treasure Vault pg. 90 <sup>1.1</sup>,Common,"Consumable, Evocation, Magical, Potion, Sonic",Consumables,Potions,8,90 gp,L,held in 1 hand,
Shrinking Potion (Greater),Standard,GM Core pg. 261 <sup>2.0</sup>,Common,"Consumable, Magical, Potion",Consumables,Potions,8,90 gp,L,held in 1 hand,
Spirit Snare,Standard,Guns & Gears pg. 80 <sup>2.0</sup>,Rare,"Consumable, Electricity, Mechanical, Rare, Snare, Trap",Snares,,8,90 gp,,,
Thawing Candle,Standard,Rage of Elements pg. 125 <sup>2.0</sup>,Common,"Consumable, Fire, Magical",Consumables,Other Consumables,8,90 gp,,held in 1 hand,
Thousand-Pains Fulu (Blade),Standard,Treasure Vault pg. 79 <sup>1.1</sup>,Uncommon,"Consumable, Fulu, Magical, Necromancy, Uncommon",Consumables,Fulu,8,90 gp,,affixed to a creature,
Warpwobble Poison,Standard,Treasure Vault pg. 71 <sup>1.1</sup>,Common,"Alchemical, Consumable, Injury, Mental, Poison",Alchemical Items,Alchemical Poisons,8,90 gp,L,held in 2 hands,
Potion of Shared Life,Standard,Secrets of Magic pg. 175 <sup>1.1</sup>,Common,"Consumable, Magical, Necromancy, Potion",Consumables,Potions,8,95 gp,L,held in 1 hand,
Bloodhammer Reserve (Black Label),Standard,Highhelm pg. 86,Uncommon,"Consumable, Magical, Polymorph, Potion, Transmutation, Uncommon",Consumables,Potions,8,100 gp,L,held in 1 hand,
Bloodseeker Beak (Greater),Standard,GM Core pg. 263 <sup>2.0</sup>,Common,"Consumable, Magical, Talisman",Consumables,Talismans,8,100 gp,,affixed to a weapon,
Brine Dragon Scale,Standard,Rage of Elements pg. 176 <sup>2.0</sup>,Uncommon,"Acid, Consumable, Talisman, Uncommon, Water",Consumables,Talismans,8,100 gp,,affixed to a melee weapon,
Chain of Stars,Standard,Treasure Vault pg. 92 <sup>1.1</sup>,Common,"Consumable, Evocation, Force, Magical, Talisman",Consumables,Talismans,8,100 gp,,affixed to a thrown weapon,
Clockwork Spider Bomb,Standard,Grand Bazaar pg. 22,Uncommon,"Clockwork, Consumable, Gadget, Uncommon",Consumables,Gadgets,8,100 gp,1,held in 1 hand,
Curare,Standard,Treasure Vault pg. 68 <sup>1.1</sup>,Common,"Alchemical, Consumable, Incapacitation, Injury, Poison",Alchemical Items,Alchemical Poisons,8,100 gp,L,held in 2 hands,
Detect Anathema Fulu,Standard,Secrets of Magic pg. 159 <sup>1.1</sup>,Uncommon,"Abjuration, Consumable, Fulu, Magical, Talisman, Uncommon",Consumables,Fulu,8,100 gp,,affixed to armor,
Dust of Corpse Animation,Standard,Player Core 2 pg. 306,Uncommon,"Consumable, Magical, Uncommon",Consumables,Other Consumables,8,100 gp,,held in 2 hands,
Gallows Tooth,Standard,GM Core pg. 265 <sup>2.0</sup>,Common,"Consumable, Magical, Talisman",Consumables,Talismans,8,100 gp,,affixed to a weapon,
Ghost Courier Fulu,Standard,Treasure Vault pg. 77 <sup>1.1</sup>,Common,"Conjuration, Consumable, Fulu, Magical",Consumables,Fulu,8,100 gp,,held in 2 hands,
Ghost Delivery Fulu,Standard,Treasure Vault pg. 77 <sup>1.1</sup>,Common,"Consumable, Divination, Fulu, Magical",Consumables,Fulu,8,100 gp,,"affixed to structure, object, or creature",
Healing Vapor (Moderate),Standard,Treasure Vault pg. 54 <sup>1.1</sup>,Common,"Alchemical, Consumable, Healing",Alchemical Items,Alchemical Tools,8,100 gp,L,held in 2 hands,
Hive Mother Bottle,Standard,Howl of the Wild pg. 109 <sup>2.0</sup>,Uncommon,"Alchemical, Consumable, Expandable, Uncommon",Alchemical Items,Bottled Monstrosities,8,100 gp,L,held in 1 hand,
Hype,Restricted,Legends pg. 81,Rare,"Alchemical, Consumable, Drug, Ingested, Poison, Rare",Alchemical Items,Drugs,8,100 gp,L,held in 1 hand,
Jade Bauble,Standard,Player Core 2 pg. 305,Common,"Consumable, Magical, Mental, Talisman",Consumables,Talismans,8,100 gp,,affixed to a melee weapon,
Octopus Bottle,Standard,Treasure Vault pg. 57 <sup>1.1</sup>,Uncommon,"Alchemical, Consumable, Expandable, Uncommon",Alchemical Items,Bottled Monstrosities,8,100 gp,L,held in 1 hand,
Orchestral Brooch,Standard,Secrets of Magic pg. 174 <sup>1.1</sup>,Common,"Auditory, Consumable, Evocation, Magical, Talisman",Consumables,Talismans,8,100 gp,,affixed to armor,
Potion of Disguise (Moderate),Standard,Player Core 2 pg. 304,Uncommon,"Consumable, Magical, Polymorph, Potion, Uncommon",Consumables,Potions,8,100 gp,L,held in 1 hand,
Potion of Flying,Standard,GM Core pg. 259 <sup>2.0</sup>,Common,"Consumable, Magical, Potion",Consumables,Potions,8,100 gp,L,held in 1 hand,
Potion Patch (Moderate),Standard,Treasure Vault pg. 97 <sup>1.1</sup>,Common,"Consumable, Magical, Transmutation",Consumables,Other Consumables,8,100 gp,L,worn,
Psychic Colors Elixir,,Pathfinder #189: Dreamers of the Nameless Spires pg. 75,Uncommon,"Alchemical, Consumable, Elixir, Uncommon",Alchemical Items,Alchemical Elixirs,8,100 gp,L,held in 1 hand,Gatewalkers
Runescribed Disk,Limited,Pathfinder #176: Lost Mammoth Valley pg. 80,Uncommon,"Magical, Talisman, Transmutation, Uncommon",Consumables,Talismans,8,100 gp,,affixed to armor,Quest for the Frozen Flame
Spun Cloud (Red),Standard,Rage of Elements pg. 76 <sup>2.0</sup>,Common,"Air, Bottled Breath, Consumable, Magical",Consumables,Bottled Breath,8,100 gp,L,held in 1 hand,
Stormfeather,Standard,Secrets of Magic pg. 176 <sup>1.1</sup>,Common,"Consumable, Magical, Talisman, Transmutation",Consumables,Talismans,8,100 gp,,affixed to armor,
Resilient,Standard,GM Core pg. 226 <sup>2.0</sup>,Common,Magical,Runes,Fundamental Armor Runes,8,340 gp,,etched onto armor,
Adamantine Object (Standard-Grade),Standard,GM Core pg. 253 <sup>2.0</sup>,Uncommon,"Precious, Uncommon",Materials,,8,350 gp (per Bulk),,,
Dawnsilver Object (Standard-Grade),Standard,GM Core pg. 253 <sup>2.0</sup>,Uncommon,"Precious, Uncommon",Materials,,8,350 gp (per Bulk),,,
Dragonhide Object (Standard-Grade),Standard,Player Core 2 pg. 276,Uncommon,"Precious, Uncommon",Materials,,8,350 gp (per Bulk),L,,
Duskwood Object (Standard-Grade),Standard,GM Core pg. 254 <sup>2.0</sup>,Uncommon,"Precious, Uncommon",Materials,,8,350 gp (per Bulk),,,
Siccatite Object (Standard-Grade),Standard,Grand Bazaar pg. 100,Rare,"Precious, Rare",Materials,,8,350 gp (per Bulk),,,
Sisterstone Object (Standard-Grade),,Pathfinder #183: Field of Maidens pg. 79,Rare,"Precious, Rare",Materials,,8,350 gp (per Bulk),,,Blood Lords
Waffle Iron (Mithral),Standard,Grand Bazaar pg. 93,Uncommon,Uncommon,Adventuring Gear,,8,355 gp,1,,
Abysium Buckler (Standard-Grade),Standard,Grand Bazaar pg. 96,Rare,Rare,Shields,Precious Material Shields,8,400 gp,L,varies by shield,
Adamantine Buckler (Standard-Grade),Standard,GM Core pg. 233 <sup>2.0</sup>,Uncommon,Uncommon,Shields,Precious Material Shields,8,400 gp,L,varies by shield,
Dawnsilver Buckler (Standard-Grade),Standard,GM Core pg. 233 <sup>2.0</sup>,Uncommon,Uncommon,Shields,Precious Material Shields,8,400 gp,L,varies by shield,
Djezet Alloy Object (Standard-Grade),Standard,Grand Bazaar pg. 97,Rare,"Precious, Rare",Materials,,8,400 gp (per Bulk),,,
Dragonhide Buckler (Standard-Grade),Standard,Player Core 2 pg. 277,Uncommon,Uncommon,Shields,Precious Material Shields,8,400 gp,L,varies by shield,
Duskwood Buckler (Standard-Grade),Standard,GM Core pg. 233 <sup>2.0</sup>,Uncommon,Uncommon,Shields,Precious Material Shields,8,400 gp,L,varies by shield,
Inubrix Object (Standard-Grade),Standard,Grand Bazaar pg. 98,Rare,"Precious, Rare",Materials,,8,400 gp (per Bulk),,,
Noqual Object (Standard-Grade),Standard,Grand Bazaar pg. 99,Rare,"Precious, Rare",Materials,,8,400 gp (per Bulk),,,
Siccatite Buckler (Standard-Grade),Standard,Grand Bazaar pg. 101,Rare,Rare,Shields,Precious Material Shields,8,400 gp,1,varies by shield,
Alluring Scarf,Standard,Grand Bazaar pg. 84,Uncommon,"Enchantment, Magical, Uncommon",Held Items,,8,415 gp,,held in 1 hand,
Habu's Cudgel,Limited,Pathfinder #170: Spoken on the Song Wind pg. 76,Unique,"Magical, Necromancy, Unique",Weapons,Specific Magic Weapons,8,415 gp,1,held in 1 hand,Strength of Thousands
Plate of Yled (Greater Graveknight Plate),,Wake the Dead #5 pg. 24,Rare,"Aberration, Evil, Magical, Necromancy, Rare",Armor,Specific Magic Armor,8,415 gp,4,worn armor,
Energy-Resistant,Standard,GM Core pg. 226 <sup>2.0</sup>,Common,Magical,Runes,Armor Property Runes,8,420 gp,,etched onto armor,
Spellbook of Redundant Enchantment,Limited,Secrets of Magic pg. 163 <sup>1.1</sup>,Common,"Enchantment, Grimoire, Magical",Grimoires,,8,420 gp,L,,
Swarmsuit (Impenetrable),Standard,Grand Bazaar pg. 93,Common,,Adventuring Gear,,8,420 gp,,attached to explorer's clothing,
Aeon Stone (Envisioning),Standard,GM Core pg. 284 <sup>2.0</sup>,Uncommon,"Invested, Magical, Uncommon",Worn Items,Other Worn Items,8,425 gp,,worn,
Book of Warding Prayers,Standard,Treasure Vault pg. 111 <sup>1.1</sup>,Common,"Divine, Grimoire, Transmutation",Grimoires,,8,425 gp,L,,
Brooch of Inspiration,Standard,Grand Bazaar pg. 106,Uncommon,"Divination, Invested, Magical, Uncommon",Worn Items,Other Worn Items,8,425 gp,,worn,
Catching,Standard,Treasure Vault pg. 144 <sup>1.1</sup>,Common,"Abjuration, Magical",Runes,Accessory Runes,8,425 gp,,applied to shield,
Clarity Goggles (Lesser),Standard,Treasure Vault pg. 146 <sup>1.1</sup>,Common,"Divination, Invested, Magical",Worn Items,Other Worn Items,8,425 gp,,worn eyepiece,
Faith Tattoo (Greater),Standard,Treasure Vault pg. 120 <sup>1.1</sup>,Common,"Divine, Invested, Tattoo",Tattoos,,8,425 gp,,tattooed on the body,
Fanged (Greater),Standard,Grand Bazaar pg. 106,Uncommon,"Magical, Transmutation, Uncommon",Runes,Weapon Property Runes,8,425 gp,,etched onto a melee weapon,
Five-Feather Wreath (Greater),Standard,Secrets of Magic pg. 170 <sup>1.1</sup>,Common,"Air, Magical, Spellheart, Transmutation",Spellhearts,,8,425 gp,,affixed to armor or a weapon,
Flaming Star (Greater),Standard,Secrets of Magic pg. 170 <sup>1.1</sup>,Common,"Evocation, Fire, Magical, Spellheart",Spellhearts,,8,425 gp,,affixed to armor or a weapon,
Mantle of the Tikbalang,Standard,Howl of the Wild pg. 106 <sup>2.0</sup>,Uncommon,"Invested, Magical, Uncommon",Worn Items,Other Worn Items,8,425 gp,1,worn cloak,
Rhinoceros Mask (Greater),Standard,"Treasure Vault pg. 155 <sup>1.1</sup>, Pathfinder #169: Kindled Magic pg. 74",Uncommon,"Invested, Magical, Transmutation, Uncommon",Worn Items,Other Worn Items,8,425 gp,,worn mask,
Rime Crystal (Greater),Standard,Treasure Vault pg. 128 <sup>1.1</sup>,Common,"Cold, Evocation, Magical, Spellheart",Spellhearts,,8,425 gp,,affixed to armor or a weapon,
Spiny Lodestone (Greater),Standard,Rage of Elements pg. 147 <sup>2.0</sup>,Common,"Magical, Metal, Spellheart",Spellhearts,,8,425 gp,,affixed to a metal armor or weapon,
Staff of Illumination,Standard,GM Core pg. 280 <sup>2.0</sup>,Common,"Magical, Staff",Staves,,8,425 gp,1,held in 1 hand,
Steam Winch,Standard,Guns & Gears pg. 89 <sup>2.0</sup>,Rare,"Rare, Steam",Adventuring Gear,,8,425 gp,2,operated with two hands,
Tallowheart Mass,,Crown of the Kobold King pg. 117,Rare,"Abjuration, Divine, Healing, Necromancy, Rare, Transmutation",Held Items,,8,425 gp,L,held in 1 hand,Crown of the Kobold King
Wand of Mercy (3rd-Level Spell),Standard,Treasure Vault pg. 141 <sup>1.1</sup>,Common,"Magical, Wand",Wands,Specialty Wands,8,425 gp,L,held in 1 hand,
Backfire Mantle (Greater),Standard,Secrets of Magic pg. 179 <sup>1.1</sup>,Common,"Abjuration, Invested, Magical",Worn Items,Other Worn Items,8,430 gp,1,worn cloak,
Sigil of the First Clan,Limited,Pathfinder #195: Heavy is the Crown pg. 80,Uncommon,"Enchantment, Invested, Magical, Uncommon",Worn Items,Other Worn Items,8,430 gp,,worn necklace,Sky King's Tomb
Tome of Scintillating Sleet,Standard,Treasure Vault pg. 113 <sup>1.1</sup>,Common,"Cold, Evocation, Grimoire, Primal",Grimoires,,8,430 gp,L,,
Abysium Shield (Standard-Grade),Standard,Grand Bazaar pg. 96,Rare,Rare,Shields,Precious Material Shields,8,440 gp,1,varies by shield,
Adamantine Shield (Standard-Grade),Standard,GM Core pg. 233 <sup>2.0</sup>,Uncommon,Uncommon,Shields,Precious Material Shields,8,440 gp,1,varies by shield,
Dawnsilver Shield (Standard-Grade),Standard,GM Core pg. 233 <sup>2.0</sup>,Uncommon,Uncommon,Shields,Precious Material Shields,8,440 gp,L,varies by shield,
Dragonhide Shield (Standard-Grade),Standard,Player Core 2 pg. 277,Uncommon,Uncommon,Shields,Precious Material Shields,8,440 gp,1,varies by shield,
Duskwood Shield (Standard-Grade),Standard,GM Core pg. 233 <sup>2.0</sup>,Uncommon,Uncommon,Shields,Precious Material Shields,8,440 gp,L,varies by shield,
Siccatite Shield (Standard-Grade),Standard,Grand Bazaar pg. 101,Rare,Rare,Shields,Precious Material Shields,8,440 gp,2,varies by shield,
Abysium Object (Standard-Grade),Standard,Grand Bazaar pg. 96,Rare,"Precious, Rare",Materials,,8,450 gp (per Bulk),,,
Alluring Lantern,Standard,Howl of the Wild pg. 97 <sup>2.0</sup>,Common,"Graft, Invested, Magical",Grafts,,8,450 gp,L,implanted,
Armory Bracelet (Moderate),Standard,Treasure Vault pg. 153 <sup>1.1</sup>,Common,"Conjuration, Invested, Magical",Worn Items,Other Worn Items,8,450 gp,,worn,
Astral,Standard,GM Core pg. 236 <sup>2.0</sup>,Common,"Magical, Spirit",Runes,Weapon Property Runes,8,450 gp,,etched onto a weapon,
Bootstrap Respirator,Standard,Treasure Vault pg. 105 <sup>1.1</sup>,Uncommon,"Mechanical, Uncommon",Assistive Items,,8,450 gp,L,worn,
Brightbloom Posy,Standard,Treasure Vault pg. 125 <sup>1.1</sup>,Common,"Conjuration, Magical, Plant, Spellheart",Spellhearts,,8,450 gp,,affixed to armor or a weapon,
Constricting Meteor,Standard,Howl of the Wild pg. 102 <sup>2.0</sup>,Uncommon,"Magical, Uncommon",Weapons,Specific Magic Weapons,8,450 gp,2,held in 2 hands,
Cordelia's Construct Key,Standard,PFS Guide pg. 123,Uncommon,"Conjuration, Invested, Magical, Transmutation, Uncommon",Worn Items,Other Worn Items,8,450 gp,,worn,
Duelist's Beacon,Standard,Grand Bazaar pg. 10,Uncommon,"Evocation, Light, Magical, Uncommon",Shields,Specific Shields,8,450 gp,L,held in 1 hand,
Eclipse,Limited,Pathfinder #146: Cult of Cinders pg. 72,Unique,"Evocation, Light, Magical, Unique",Weapons,Specific Magic Weapons,8,450 gp,L,held in 1 hand,Age of Ashes
Empathic Cords,Limited,Pathfinder Special: Fumbus,Rare,"Divination, Invested, Magical, Mental, Rare",Worn Items,Other Worn Items,8,450 gp,,worn,
Encompassing Lockpick,Standard,Grand Bazaar pg. 10,Uncommon,"Conjuration, Extradimensional, Magical, Uncommon",Held Items,,8,450 gp,L,held in 1 hand,
Energy Robe (Cold),Standard,Grand Bazaar pg. 50,Uncommon,"Invested, Magical, Transmutation, Uncommon",Worn Items,Other Worn Items,8,450 gp,L,worn clothing,
Eye of the Unseen,Standard,Grand Bazaar pg. 73,Common,"Divination, Invested, Magical",Assistive Items,Prostheses,8,450 gp,L,worn,
Fleshgem (Earthspeaker),Standard,Grand Bazaar pg. 110,Uncommon,"Evocation, Invested, Primal, Uncommon",Worn Items,Other Worn Items,8,450 gp,,envision,
Fortune's Coin,Standard,Treasure Vault pg. 114 <sup>1.1</sup>,Common,"Divination, Fortune, Magical",Held Items,,8,450 gp,,held in 1 hand,
Giant-Killing,Limited,Kingmaker Companion Guide pg. 24,Rare,"Magical, Necromancy, Rare",Runes,Weapon Property Runes,8,450 gp,,etched onto a weapon,Kingmaker
Gills,Standard,Howl of the Wild pg. 98 <sup>2.0</sup>,Common,"Graft, Invested, Magical",Grafts,,8,450 gp,,implanted,
Gliding,Standard,Treasure Vault pg. 12 <sup>1.1</sup>,Common,"Magical, Transmutation",Runes,Armor Property Runes,8,450 gp,,etched onto armor,
Grim Sandglass (Greater),Standard,Secrets of Magic pg. 171 <sup>1.1</sup>,Common,"Magical, Necromancy, Spellheart",Spellhearts,,8,450 gp,,affixed to armor or a weapon,
Hag Eye (Smokey),,Pathfinder #182: Graveclaw pg. 76,Rare,"Divination, Invested, Occult, Rare, Scrying",Worn Items,Other Worn Items,8,450 gp,,worn,Blood Lords
Horrid Figurine,Standard,Treasure Vault pg. 115 <sup>1.1</sup>,Common,"Magical, Necromancy",Held Items,,8,450 gp,L,held in 2 hands,
Perfect Droplet (Greater),Standard,Secrets of Magic pg. 171 <sup>1.1</sup>,Common,"Evocation, Magical, Spellheart, Water",Spellhearts,,8,450 gp,,affixed to armor or a weapon,
